cast,cast2,cast3
Tim Robbins,Morgan Freeman,Bob Gunton
Marlon Brando,Al Pacino,James Caan
Al Pacino,Robert De Niro,Robert Duvall
Christian Bale,Heath Ledger,Aaron Eckhart
Henry Fonda,Lee J. Cobb,Martin Balsam
Liam Neeson,Ralph Fiennes,Ben Kingsley
Elijah Wood,Viggo Mortensen,Ian McKellen
John Travolta,Uma Thurman,Samuel L. Jackson
Clint Eastwood,Eli Wallach,Lee Van Cleef
Elijah Wood,Ian McKellen,Orlando Bloom
Brad Pitt,Edward Norton,Meat Loaf
Tom Hanks,Robin Wright,Gary Sinise
Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page
Mark Hamill,Harrison Ford,Carrie Fisher
Elijah Wood,Ian McKellen,Viggo Mortensen
Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Robert De Niro,Ray Liotta,Joe Pesci
Jack Nicholson,Louise Fletcher,Will Sampson
Toshirô Mifune,Takashi Shimura,Keiko Tsushima
Morgan Freeman,Brad Pitt,Kevin Spacey
Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo
Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini
Jodie Foster,Anthony Hopkins,Lawrence A. Bonney
James Stewart,Donna Reed,Lionel Barrymore
Mark Hamill,Harrison Ford,Carrie Fisher
Tom Hanks,Matt Damon,Tom Sizemore
Daveigh Chase,Suzanne Pleshette,Miyu Irino
Tom Hanks,Michael Clarke Duncan,David Morse
Matthew McConaughey,Anne Hathaway,Jessica Chastain
Jean Reno,Gary Oldman,Natalie Portman
Kevin Spacey,Gabriel Byrne,Chazz Palminteri
Tatsuya Nakadai,Akira Ishihama,Shima Iwashita
Matthew Broderick,Jeremy Irons,James Earl Jones
Edward Norton,Edward Furlong,Beverly D'Angelo
Arnold Schwarzenegger,Linda Hamilton,Edward Furlong
Joaquin Phoenix,Robert De Niro,Zazie Beetz
Michael J. Fox,Christopher Lloyd,Lea Thompson
Adrien Brody,Thomas Kretschmann,Frank Finlay
Charles Chaplin,Paulette Goddard,Henry Bergman
Anthony Perkins,Janet Leigh,Vera Miles
Russell Crowe,Joaquin Phoenix,Connie Nielsen
Charles Chaplin,Virginia Cherrill,Florence Lee
François Cluzet,Omar Sy,Anne Le Ny
Leonardo DiCaprio,Matt Damon,Jack Nicholson
Miles Teller,J.K. Simmons,Melissa Benoist
Henry Fonda,Charles Bronson,Claudia Cardinale
Christian Bale,Hugh Jackman,Scarlett Johansson
Humphrey Bogart,Ingrid Bergman,Paul Henreid
Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi
James Stewart,Grace Kelly,Wendell Corey
Philippe Noiret,Enzo Cannavale,Antonella Attili
Sigourney Weaver,Tom Skerritt,John Hurt
Dean-Charles Chapman,George MacKay,Daniel Mays
Harrison Ford,Karen Allen,Paul Freeman
Martin Sheen,Marlon Brando,Robert Duvall
Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
Charles Chaplin,Paulette Goddard,Jack Oakie
Ulrich Mühe,Martina Gedeck,Sebastian Koch
Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Kirk Douglas,Ralph Meeker,Adolphe Menjou
Jack Nicholson,Shelley Duvall,Danny Lloyd
Robert Downey Jr.,Chris Evans,Mark Ruffalo
Ben Burtt,Elissa Knight,Jeff Garlin
Shameik Moore,Jake Johnson,Hailee Steinfeld
Yôji Matsuda,Yuriko Ishida,Yûko Tanaka
William Holden,Gloria Swanson,Erich von Stroheim
Peter Sellers,George C. Scott,Sterling Hayden
Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang
Tyrone Power,Marlene Dietrich,Charles Laughton
Christian Bale,Tom Hardy,Anne Hathaway
Robert De Niro,James Woods,Elizabeth McGovern
Sigourney Weaver,Michael Biehn,Carrie Henn
Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita
Kevin Spacey,Annette Bening,Thora Birch
Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Mel Gibson,Sophie Marceau,Patrick McGoohan
Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann
Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai
Aamir Khan,Madhavan,Mona Singh
Tom Hanks,Tim Allen,Don Rickles
Mark Hamill,Harrison Ford,Carrie Fisher
Darsheel Safary,Aamir Khan,Tisca Chopra
F. Murray Abraham,Tom Hulce,Elizabeth Berridge
Harvey Keitel,Tim Roth,Michael Madsen
Brad Pitt,Diane Kruger,Eli Roth
Robin Williams,Matt Damon,Ben Affleck
Keir Dullea,Gary Lockwood,William Sylvester
Peter Lorre,Ellen Widmann,Inge Landgut
Ellen Burstyn,Jared Leto,Jennifer Connelly
James Stewart,Kim Novak,Barbara Bel Geddes
Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh
Jim Carrey,Kate Winslet,Tom Wilkinson
Orson Welles,Joseph Cotten,Dorothy Comingore
Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp
Matthew Modine,R. Lee Ermey,Vincent D'Onofrio
Cary Grant,Eva Marie Saint,James Mason
Malcolm McDowell,Patrick Magee,Michael Bates
Jason Statham,Brad Pitt,Benicio Del Toro
Charles Chaplin,Edna Purviance,Jackie Coogan
Lamberto Maggiorani,Enzo Staiola,Lianella Carell
Gene Kelly,Donald O'Connor,Debbie Reynolds
Al Pacino,Michelle Pfeiffer,Steven Bauer
Robert De Niro,Jodie Foster,Cybill Shepherd
Audrey Tautou,Mathieu Kassovitz,Rufus
Peter O'Toole,Alec Guinness,Anthony Quinn
Tom Hanks,Tim Allen,Joan Cusack
Paul Newman,Robert Redford,Robert Shaw
Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole
Brigitte Helm,Alfred Abel,Gustav Fröhlich
Clint Eastwood,Lee Van Cleef,Gian Maria Volontè
Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori
Payman Maadi,Leila Hatami,Sareh Bayat
Fred MacMurray,Barbara Stanwyck,Edward G. Robinson
Gregory Peck,John Megna,Frank Overton
Jack Lemmon,Shirley MacLaine,Fred MacMurray
Harrison Ford,Sean Connery,Alison Doody
Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette
Edward Asner,Jordan Nagai,John Ratzenberger
Kevin Spacey,Russell Crowe,Guy Pearce
Graham Chapman,John Cleese,Eric Idle
Al Pacino,Robert De Niro,Val Kilmer
Bruce Willis,Alan Rickman,Bonnie Bedelia
Toshirô Mifune,Machiko Kyô,Masayuki Mori
Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai
Christian Bale,Michael Caine,Ken Watanabe
Clint Eastwood,Gene Hackman,Morgan Freeman
Viggo Mortensen,Mahershala Ali,Linda Cardellini
Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes
Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi
Marilyn Monroe,Tony Curtis,Jack Lemmon
Chieko Baishô,Takuya Kimura,Tatsuya Gashûin
Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius
Steve McQueen,James Garner,Richard Attenborough
Tatsuya Nakadai,Akira Terao,Jinpachi Nezu
Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto
Bette Davis,Anne Baxter,George Sanders
Russell Crowe,Ed Harris,Jennifer Connelly
Robert De Niro,Sharon Stone,Joe Pesci
Ivana Baquero,Ariadna Gil,Sergi López
Robert De Niro,Cathy Moriarty,Joe Pesci
Ricardo Darín,Soledad Villamil,Pablo Rago
Jason Flemyng,Dexter Fletcher,Nick Moran
Leonardo DiCaprio,Jonah Hill,Margot Robbie
Humphrey Bogart,Walter Huston,Tim Holt
Spencer Tracy,Burt Lancaster,Richard Widmark
Frances McDormand,Woody Harrelson,Sam Rockwell
Çetin Tekindor,Fikret Kuskan,Hümeyra
Jack Nicholson,Faye Dunaway,John Huston
Daniel Day-Lewis,Paul Dano,Ciarán Hinds
Charles Chaplin,Mack Swain,Tom Murray
Ray Milland,Grace Kelly,Robert Cummings
Hugo Weaving,Natalie Portman,Rupert Graves
Amy Poehler,Bill Hader,Lewis Black
Max von Sydow,Gunnar Björnstrand,Bengt Ekerot
Tom Hardy,Nick Nolte,Joel Edgerton
Tommy Lee Jones,Javier Bardem,Josh Brolin
Ewan McGregor,Ewen Bremner,Jonny Lee Miller
Anthony Hopkins,John Hurt,Anne Bancroft
Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo
Brie Larson,Jacob Tremblay,Sean Bridgers
Bruce Willis,Haley Joel Osment,Toni Collette
Kurt Russell,Wilford Brimley,Keith David
Clark Gable,Vivien Leigh,Thomas Mitchell
Harrison Ford,Rutger Hauer,Sean Young
William Holden,Alec Guinness,Jack Hawkins
Sam Neill,Laura Dern,Jeff Goldblum
Orson Welles,Joseph Cotten,Alida Valli
Marlon Brando,Karl Malden,Lee J. Cobb
Albert Brooks,Ellen DeGeneres,Alexander Gould
Victor Sjöström,Bibi Andersson,Ingrid Thulin
Matt Damon,Christian Bale,Jon Bernthal
William H. Macy,Frances McDormand,Steve Buscemi
Clint Eastwood,Bee Vang,Christopher Carley
Uma Thurman,David Carradine,Daryl Hannah
Robert De Niro,Christopher Walken,John Cazale
Chishû Ryû,Chieko Higashiyama,Sô Yamamura
Jim Carrey,Ed Harris,Laura Linney
Ayushmann Khurrana,Tabu,Radhika Apte
Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn
Sener Sen,Ugur Yücel,Sermin Hürmeriç
Darío Grandinetti,María Marull,Mónica Villa
Jeff Bridges,John Goodman,Julianne Moore
Kang-ho Song,Sang-kyung Kim,Roe-ha Kim
Toni Collette,Philip Seymour Hoffman,Eric Bana
Jason Schwartzman,J.K. Simmons,Rashida Jones
Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie
Ben Affleck,Rosamund Pike,Neil Patrick Harris
Andrew Garfield,Sam Worthington,Luke Bracey
James Stewart,Jean Arthur,Claude Rains
Ralph Fiennes,F. Murray Abraham,Mathieu Amalric
Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse
Buster Keaton,Marion Mack,Glen Cavender
Buster Keaton,Kathryn McGuire,Joe Keaton
Ethan Hawke,Julie Delpy,Andrea Eckert
Bibi Andersson,Liv Ullmann,Margaretha Krook
Leonardo DiCaprio,Tom Hanks,Christopher Walken
Hugh Jackman,Jake Gyllenhaal,Viola Davis
Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender
Paul Newman,George Kennedy,Strother Martin
Emile Hirsch,Vince Vaughn,Catherine Keener
Faye Dunaway,William Holden,Peter Finch
Yves Montand,Charles Vanel,Peter van Eyck
Wil Wheaton,River Phoenix,Corey Feldman
Tom Hardy,Charlize Theron,Nicholas Hoult
Graham Chapman,John Cleese,Michael Palin
Ryan O'Neal,Marisa Berenson,Patrick Magee
Charlie Sheen,Tom Berenger,Willem Dafoe
Hilary Swank,Clint Eastwood,Morgan Freeman
Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa
Maria Falconetti,Eugene Silvain,André Berley
Daniel Brühl,Chris Hemsworth,Olivia Wilde
Hugh Jackman,Patrick Stewart,Dafne Keen
Charlton Heston,Jack Hawkins,Stephen Boyd
Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko
Aamir Khan,Soha Ali Khan,Siddharth
Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda
Daniel Radcliffe,Emma Watson,Rupert Grint
Jean-Pierre Léaud,Albert Rémy,Claire Maurier
Robin Williams,Robert Sean Leonard,Ethan Hawke
Emilio Echevarría,Gael García Bernal,Goya Toledo
Don Cheadle,Sophie Okonedo,Joaquin Phoenix
Mark Ruffalo,Michael Keaton,Rachel McAdams
Laurence Olivier,Joan Fontaine,George Sanders
Sylvester Stallone,Talia Shire,Burt Young
Min-hee Kim,Jung-woo Ha,Jin-woong Cho
Billy Crystal,John Goodman,Mary Gibbs
Anton Walbrook,Marius Goring,Moira Shearer
Kirk Douglas,Jan Sterling,Robert Arthur
Vincent Cassel,Hubert Koundé,Saïd Taghmaoui
Clark Gable,Claudette Colbert,Walter Connolly
James Cagney,Virginia Mayo,Edmond O'Brien
Cary Elwes,Mandy Patinkin,Robin Wright
Aamir Khan,Raghuvir Yadav,Gracy Singh
Ethan Hawke,Julie Delpy,Vernon Dobtcheff
Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu
Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui
Emma Stone,Viola Davis,Octavia Spencer
Arnold Schwarzenegger,Linda Hamilton,Michael Biehn
Adam Driver,Scarlett Johansson,Julia Greer
Paul Newman,Robert Redford,Katharine Ross
Harry Dean Stanton,Nastassja Kinski,Dean Stockwell
Mitsuo Iwata,Nozomu Sasaki,Mami Koyama
Aamir Khan,Anushka Sharma,Sanjay Dutt
Mario Casas,Ana Wagener,Jose Coronado
Scott Weinger,Robin Williams,Linda Larkin
Chris Pratt,Vin Diesel,Bradley Cooper
Megumi Ogata,Megumi Hayashibara,Yûko Miyamura
Haluk Bilginer,Melisa Sözen,Demet Akbag
